text,emotion
i try to return to it i feel like i broke up with a boyfriend and don t know how to get the relationship back on track,sadness
i do feel guilty for not being able to carry the strong attachments as i move on but could never change,sadness
i feel agitated and cant think of anything productive to do all i can really do is lay on my bed not getting a blink of sleep but think think think,anger
ive come back to montreal ive been feeling restless,fear
i had also wondered in the past if you and i could be more but i always thought i was feeling needy during those times or badly about myself,sadness
i do feel worthless sometime like im not good enough for anyone my friends and sometimes even my family,sadness
i would feel ungrateful not to honor it,sadness
im feeling a bit amazed and grateful about having landed amid such a congregation,surprise
i feel like i should mention there was another sweet family with us,love
i feel for the abused,sadness
im feeling a bit melancholy,sadness
i just sat there feeling this weird feeling and a few moments later the leader called out to wind it down so we could switch roles,surprise
i replied feeling a little agitated at that remark,fear
i credit i didn t feel agitated about all that stuff on my face and in my hair until a good two hours later which is longer than you re supposed to keep it up anyway i think,anger
i want to let you know even if you are feeling lousy and defeated right now life will turn out exactly how you imagined and wanted it to,sadness
i feel generous and i follow but mostly i endure it because i like the person and am willing to wait it out until they reach this somewhat artificial goal,joy
i ended up feeling pretty terrific about myself yesterday,joy
i suppose i should feel stubborn about not letting summer go but im really pretty indifferent towards the whole school thing,anger
i feel the suffering of people a thousand years ago for goodness sake,sadness
i would not have told him or even joined the company had i not had a feeling he would be supportive,love
i feel like we have been so blessed already we may just be pushing our luck to try ivf again,love
i think the book blogger slump hits whenever this blog starts to feel like work instead of a beloved pastime,love
i immediately felt lucky then scared then ached to take away some of the pain these families are suffering i feel hopeless to do anything,sadness
i feel like it s back to boring,sadness
i knew those feelings to the core but thankfully my daughter came out just fine,joy
i do eat around him and it turns out i need to purge ever so bad i feel horrible like i have to ask for permission i have to let him know what im about to do,sadness
ive been feeling loggy and irritable for a couple weeks now which i am content to largely ascribe to the whole just moved and building a comfort zone part of my brain,anger
i feel appreciative to eisner camp for many reasons this circumstance is just one more to add to a very long list,joy
i feel happy about the outcome of this long election and im glad its over,joy
i know the signs elevated resting heart rate mood swings pain in the muscles and joints especially in the upper thigh muscles sudden loss of strength no desire for weights lifting decreased sleep times lose of muscle mass feeling irritable,anger
i knew that feeling and i felt disgusted at myself for feeling it,anger
i wish that more women could feel comfortable to talk about what their day was really like and not just highlight the perfect parts,joy
i feel honoured to have this opportunity to work with different types of people and to experience their skills and have their encouragement,joy
i got up this morning feeling energetic,joy
i feel paranoid a href http cyncake,fear
i am feeling happy and positive again my bowel on the other hand has again become a grumbling mess and the back and hip pain is slowly creeping back into my life,joy
i also noticed that i can actually feel more trusting of myself and i believe that my spirit feels the same way that it can trust me and i can better trust it,joy
i love travel and out of that developed a love of photography however i began to feel that the type of travel photography i was doing even though it was commercially successful was very unsatisfying and clearly not expressing any of my personality or thoughts on the world,joy
i feel i have the responsibility to behave in a calm mature manner but that doesnt always happen,joy
i walked out of there probably feeling less fearful happier and content than any other time,fear
ive been feeling so weird,surprise
i feel very pissed annoyed and depressed at the same time about a whole lot of stuff,anger
i feel that i have an emotional connection to my work i can t let what others have to say about my work affect me emotionally and mentally,sadness
i feel like i have been eager to get my undergrad finished for the last three years,joy
i feel like maybe i should branch out some but i m not fond of warm colors like reds and oranges so that limits things a bit,love
i like to spend my days off going to the us and visiting tractor supply or price chopper for wonderfully american food or if im feeling especially adventurous i go to burlington or other towns in vermont for a lookaround and a little shopping,joy
i use the art to interpret life and he connection we all have finding that i can describe how i feel better with a drawing than with words,joy
i feel kinda dumb but what is radicalism,sadness
im feeling whiney because i cant seem to get things this year many for other people and a few for myself,sadness
i know i shouldn t be upset shouldn t feel this melancholy that is eating away at my insides leaving tears in my eyes and an ache in my heart,sadness
i was talking a lot to david i started feeling that way and i hated it,sadness
i didn t know whether it was just pre race apprehension or if i was feeling a bit jaded after such a busy season but i had really struggled to summon up some enthusiasm for this race,sadness
i to see bracken feeling miserable this is definitely the most miserable hes ever been and were really grateful he hasnt been sick very often,sadness
i was exhausted and sad and feeling worthless before i was even years old and this was just the beginning,sadness
i m writing about myself now but when i look at them here i feel wonderfully privileged to have known so many like and unlike myself in such extreme situations,joy
i didn t feel like much was resolved and was a little disappointed by this,joy
i feel very privileged to have shared this event with everyone and highly recommend it to potterheads fans of things or just people who love reading,joy
i couldnt feel any divine being in my own pulse,joy
im becoming cynical in my old age my birthdays in two days and im feeling aggravated by circumstances,anger
i worked on a lot of techniques this past saturday and i feel confident in my ability to capture my first world championship,joy
i close my eyes but i can t help feel a re sidual melancholy either from the music or his demeanor,sadness
i remembered it feels terrible i couldnt continue it was easy at all totally,sadness
im feeling stressed about this more than i should,anger
i feel is an important part of the grieving and healing process,joy
i feel safe enough to nap,joy
i feel heartless as i pass them by knowing that giving them money will only invite more trouble,anger
i feel more peaceful already,joy
i would like to feel that loving presence too the kind everyone else feels,love
i am feeling stressed out i grab a book workout or take a walk and i feel better than ever but sometimes we need a little bit of a boost to get us going so today im going to talk to you about a product that i received from swaggable,anger
i definitely feel invigorated,joy
i made you feel i shudve been more considerate,love
i feel as though putting these cartoon characters we grew up with as innocent children in a not so innocent situation reflects so the changes we go through from children to adults,joy
i think i just remembered why i ve never bothered to watch election coverage i m left hoping my guy won but feeling completely helpless while all of these overly made up buffoons pretend to know what they re talking about,sadness
i had been feeling a little drained spiritually and i was praying for god to refresh and revive my spirit and enable me to spend more time with him,sadness
i should force my hand to find a resolution for it all i cant help but feel it would be in vain with bc coming and everyone so busy doing their own little thing,sadness
i repeated feeling a little stupid,sadness
i might have to take a trip out there in the off season when i m feeling homesick,sadness
i did not feel sadness i did not feel frightened i was incredibly happy,fear
im off the medication and still not feeling much more energetic and worse i can feel my emotional range flattening,joy
im feeling pretty relieved about how things went on november especially since the democrats held onto the senate,joy
i space on we can t blame it in order to read that our actions that you see there are not bad to share each and we can t blame it on you have been hiding things might try to read that at several things he or has already cheated on you see we feel needy now this takes place,sadness
i feel a little neglectful of my blog among other things,sadness
i have a feeling that my thoughts on this are not going to be popular and that s ok with me,joy
i feel the need to spend money on clothes again i will invest in a very precious designer basic or another leather jacket and swap it against a similar item thats already there so the number of black basics on my rack stays the same,joy
i now feel fairly content to give the summer up because theres so many new things to celebrate and prepare for,joy
i just panicked until peony told me to go and get the doc he looked at me and i knew that he was feeling completely useless,sadness
i know you still feel surprised about this thinking what could you have done to deserve it,surprise
i hate feeling rushed its the one thing that totally throws me off and causes me to make mistakes,anger
i really hate that feeling of getting ignored by someone u love,sadness
i guess our feeling is that thats not acceptable,joy
i kind of feel heartless,anger
i was a wee bonny lass ive always wanted to go to something like a nightclub or a party or a concert where im surrounded by hundreds of people and i feel the divine spark i feel this connection of joy with them all because briefly we are all happy,joy
i feel distracted during those times,anger
i don t have to live like that anymore but i m also grateful for the memory because that memory is pretty much the first one that my mind flicks to when i m feeling aggravated at mankind as a whole and afraid of everything including my shadow,anger
i take comfort being paralyzed now for years and living in this weird state of abnormal separation from all things normal in knowing that i am always connected to god that these feelings of loneliness will pass and in once sense that aloneness loneliness can be good for us,joy
i do feel a little strange every time i say the phrase in real life in,fear
i cant answer you about how my feelings i cant talk now as id lost all my wisdom i cant tell the truth because i have none so far,sadness
i was apparently feeling rather sociable i became acquainted with cheriee not to be confused with cherie jersey trip which i accidentally kept calling her actually because theyre spelled so much alike but of course are pronounced differently,joy
i feel a bit of furious that time,anger
im back to feeling deprived or im not sure yet what it is,sadness
i had been feeling pretty pissed about this for the past few days pss i am gonna proof you wrong,anger
i have an awesome brain that shuts down and put me in sleep mode when reality is hard when i feel troubled,sadness
i havent had a bf for about a year now and just scared because i feel like no one really wants to be with me and am not pretty or intelligent enough for them,joy
i limped along feeling helpless as my knowledge and memory faded and soon i was forced to stop working in public accounting,fear
i feel disgusted when people judge others for the way they are dressed pray eat anything different than their lifestyle and they cast others evil and sinners,anger
i look at them i feel proud knowing that i made them myself,joy
i was feeling somewhat excited about the graduation ceremony which will start at pm,joy
i feel positive about what i am doing,joy
i feel so mad i feel so angry i feel so callous so lost confused again i feel so cheap so used unfaithful let s start over let s start over let s start over,anger
i feel very sorry for them because they are really missing out,sadness
i was feeling grumpy this morning both work and personal life were making me grumpy,anger
ive rethought my feeling about this and have decided that i rather liked it when expensive items were thought of as inaccessible,love
i feel like i should live up to my image and try to change what i perceive to be in my nature my nervous personality,fear
ill feel so pathetic,sadness
i feel soo ungrateful but everyone else has such nice places to live and stuff left behind by past gappers to help them out,sadness
i feel incredibly fantastic,joy
i know i should not feel ugly as i am a creation of god and not alone for i have jesus forever by me but nature looks me in the face everyday and shows me the brutality of earth,sadness
im still loving that im eating delicious food and not feeling deprived and even getting in a piece of pizza some beers and a few chicken wings,sadness
i feel that what i find i should share and unfortunately it is not pleasant,joy
i just feel mostly pathetic right now,sadness
i did feel like i got through enough to confidently say which ones i liked in comparison to others,love
i feel shocked to realize that whatever were talking about were both seeing understanding in the same way,surprise
i have created and shared on this blog feel free to share it with others but please give credit and a link back to me and do not take credit for something that is not your creation,joy
i remembered years ago wondering how i would feel if revival broke out in rochester span style background yellow font size,sadness
i feel very disillusioned and frustrated with british administration for anguilla,sadness
i dont sense that i am feeling enraged until i throw something but i am getting better at recognizing the signs,anger
i feel a little disturbed seeing distressed members of society being pimped out in such a blatant no holds barred media way as to create a special pipeline and a need for more ajc print products and to increase ipad app downloads,sadness
ive spent way too much time feeling pain to the point that im frightened to leave myself open to it,fear
im feeling so groggy still,sadness
i am feeling stressed that i will go blank and not be able to perform the day we do our exams,sadness
i feel so pathetic every time when we quarrel ad weve to ignore each other i feel like really i lose a part of me but why,sadness
im feeling like the next couple days are going to be entirely devoted to scarlett since i didnt get to spend much time with her this weekend,love
i feel joyful about avoiding,joy
i mean i feel like its such a tragic loss i cant even begin to imagine how the band and his family must feel and what theyre going through right now,sadness
i spent years walking around the gym feeling absolutely terrified feeling judged feeling small feeling stupid,fear
i wont feel as pressured into working faster,fear
i don t feel ugly today,sadness
i found no satisfaction and no contentment chasing the feeling of being happy,joy
i feel eager for things to really start happening,joy
ive got going on that is incredibly intensive and difficult and causing me to feel very stressed about it,sadness
i have a feeling words will be angered with me and this time it asnt my fault,anger
i feel someone s hands wrap around me and i m frightened thinking someone else is trying to hurt me,fear
i battle back and forth feeling anxiety over not being productive yet unable to be productive,joy
i feel lost and stressed out a little but i wil,sadness
i must say i feel a little jaded because my organisation the heart foundation cancer choice have spent quite a significant amount of time and quite a reasonable amount of money to come to this point and i think its entirely inappropriate action from the food and grocery council he said,sadness
i feel that if i ask for help that somehow makes me less intelligent than the person im asking for help from and i cant stand that feeling,joy
i wouldn t be getting long winded about this had it just been an isolated incident and i hate feeling so cranky over the idea that the arts are thriving to the point where a saturday matinee for the city ballet is so well sold at least in the upper sections,anger
i need to tell people about myself or im not going to feel like im decaying emotionally losing touch and become neurotic,fear
i feel accepted there said panorma who is from indonesia,joy
i feel a bit ashamed about it,sadness
i just feel like i want to change it again a href http sweet pleione,joy
i can feel glamorous without makeup too especially on my lips,joy
i feel like i deserve to feel this way like i deserve to be punished,sadness
i feel and know i am very messy in the kitchen and i really really want to work better in the kitchen so i dont mess up when i do it for reals,sadness
i was so excited and it came at the perfect time when i was feeling a little homesick,sadness
i was left feeling disheartened disillusioned and disconnected,sadness
i feel the smart money pain,joy
i feel rushed and out of control,anger
i have been waking up and feeling rather vile and murderous the past few days,anger
i don t want to remind him i want him to and yet i feel i can t continue supporting him in this relationship without this extra support but i have to even do this in a sensitive but firm way to set boundaries and parameters on what is okay for me and what is needed for him,joy
i feel angry i feel angry see me frown see me frown,anger
i can even say my opinion on something without him feel offended,anger
i can almost see the dark eyes of judas iscariot averted from those of our savior so as not to feel the searing and sorrowful scorn that must have accompanied his gaze as he continued the charade by asking is it i,sadness
i feel all weepy,sadness
i think it is probably good for somebody who might feel disempowered to realize that there are things they can do in their life so they dont have to feel victimized,sadness
i said to her and she said you feel shy so hard to look to buy clothes she did not dare to,fear
i feel awful that it wasnt ready before you were born but it is coming together and it is beautiful,sadness
i knew entering the race i would not be going for any kind of time goal but its still hard not to feel embarrassed,sadness
im in no way complaining but i just cant shake this feeling that im doomed,sadness
i still feel unsure sometimes,fear
i think of an inner ear something or other causing much lightheadedness and feeling of low energy blood pressure thankfully is ok,sadness
i sometimes feel troubled,sadness
i have had in my entire mission and it feels so good,joy
i am going to write about the one trait that i feel separates the merely talented athlete from the great ones that is consistency,joy
i think i am feeling more the after effects of being in bed too long than the cold,anger
im feeling pissed off about losing a stone in weight and then not losing any more,anger
im starting to feel more calm about whats going to happen,joy
i belonged but there is a difference between feeling like youre accepted and you belong and feeling like youre each others people,love
i mean maybe i just don t get it but i feel like a restaurant chain supporting anything is similar to a chicken sandwich supporting something,love
i really feel very guilty,sadness
im still feeling a little annoyed about it all,anger
i also remember what it feels like to be and in love and confused and exhilarated and nervous and happy and independent and perhaps just slightly out of control,fear
i feel when i m reading them not unpleasant just uniquely his style,sadness
i am writing this so when addy gets the chance to be somebodys momma and she feels discouraged she will hold out and write this message to her own baby,sadness
i now feel more hopeful on how to reach my goal,joy
i feel that hooking up is the more popular option during this time,joy
i stopped there because the whole thing was feeling shaky,fear
i am feeling hesitant to go for another german one right now,fear
i feel a bit heartless for thinking about trivial stuff like make up and clothes,anger
i feel the gentle breeze from the open windows i hear the birds playful chatter at their feeder just outside my patio door and the beautiful song of the running fountain nearby,love
i feel its a terrible habit,sadness
i finally do go i feel a little bit sorry for whoever is the final catalyst,sadness
i feel so unfriendly,anger
i was feeling really sentimental and a bit sour wishing i could be back in culinary school,sadness
i get to go to mass every day and that i met the super kind people at my church but sometimes when i m feeling terrified and alone and when i want to die to end the pain of abandonment of being tossed aside like garbage after years of marriage nothing and no one helps,fear
i have a feeling i ll be unpleasantly surprised with the results,surprise
i wish to still feel the longing to be with you,love
i hear about my friends going ons and the drama of their lives i feel so little and petty,anger
i feel love the collection target blank title click here if you liked this article,sadness
i feel resistance and in this i forgive myself that i have accepted and allowed myself to not realize that i can stay awake when as i feel tired when i am resisting working on something and not give into the a href http eqafe,love
i feel that my life is frankly a little boring,sadness
i feel might be useful to teachers and administrators who work with refugees,joy
i feel so cold a href http hoyhenkeijukainen,anger
i that we routinely forgo their delicious sublime organic meals because we d rather not feel quite that unwelcome,sadness
i feel betrayed i fell dismayed yet somehow i dont feel the rage,sadness
i like the feeling that i have a talent to entertain and at my age that is quite precious,joy
i felt a profound and dramatic shift into feeling being that divine love that i was longing for,joy
i feel bad for her but i a href http lolhunt,sadness
i eventually realised is that the positive feeling experiences are like twice as fucked as the negative energetic experiences because the positive is birthed from the negative,anger
im feeling weird right now dont know if it is sadness or something else,fear
im thinking feeling or being inspired by on a daily basis,joy
i can almost feel ezekiel s terror and awe and his frantic grasping at words while knowing he just doesn t and can t quite capture it,fear
i believed if i didn t feel it that far i must not be mad or happy or caring etc,anger
i feel like no guy would ever use the term disillusioned asshole but that could be just that i have only been told this by girls in the past,sadness
i feel myself getting so distracted and not willing to talk to him anymore like it just makes me sad and feel like giving up,anger
i may not feel like im not the perfect blogger or teacher i realized i need keep my focus on the reason why i started this blog over a year ago,joy
i made the feeling of belonging and being valued will probably last longer than the shoes and socks ever will,joy
i hate the moment when i completely feel perfect with people around me whom i love the most suddenly disappear,joy
i feel joyful and inspired to write lately that only happens to me for two reasons when im hurt beyond tears and when im very very happy,joy
i saw what he could do and then when he told me everything it was like everything just clicked and i suddenly saw him for who he really was and all these feelings id repressed came to the surface and i realized that i love him,sadness
i love to feel useful,joy
i feel kind of apprehensive to pledge my life serve a nation and that im not super proud to be part of,fear
i know words only have as much power that you give them but the messenger of such words can be just as influential on how it makes you feel he said that it was a term of endearment but all i felt was dismay and quite frankly i got pissed off,anger
i figure making contact with her in a mature fashion will make her feel like an ass for being so randomly bitchy,anger
i began to feel eager to leave i felt uncomfortable like an elevator at rush hour,joy
i couldnt help feeling slightly sympathetic towards her,love
im feeling frightened and i dont know how to handle this,fear
i am not feeling sociable and just want to stay and home and watch the tennis finals on my couch,joy
i feel like a lame piece of poop,sadness
i expect to beaten down to give until i feel as if i can give no more to love without being loved always to continually pray to feel pain for my children and because of my children,love
i don t feel insecure,fear
im feeling very proud,joy
i feel physically and emotionally exhausted,sadness
i feel more like i m in chicago or ann arbor than kyrgyzstan but it s been so wonderful to relax to see new places and spend time with other volunteers,joy
too many people in tv room,anger
i occasionally slip into one of my usual stews of frustration all fueled by attachments non acceptance and most of all ego of course the banes of serenity in this human body but usually i feel satisfied and alive,joy
i got a weird feeling in my tummy and was instantly scared because i had never heard of anything like this,fear
i think that s something that could be worked on the school saying you re a trojan even though you ll be joining us in january it does feel a little bit awkward because you don t feel like an official member yet,sadness
i had broken up with mike such as we were because i just didn t feel romantic about him,love
i feel inspired to share a class post count link href http atnelsonnest,joy
im feeling gracious today so carry on before i report you,love
i have had so many replies via my blog facebook twitter amp email with lots of different ideas and suggestions that i feel confident that we can find a solution that will work for us,joy
im feeling pretty confuse these pas few days,joy
i feel so tortured myself,anger
i mean i feel like i lead a relatively boring life and prefer it that way,sadness
i left the concert hall feeling really contented and blissful really,joy
i feel lucky to have so many nice people in our lives to share the city with,joy
i feel the frantic need to run around like a giant chicken without a head,fear
i love having that feel of my stomach hurting every time i see that person i really like i love cuddling and kissing all day and just seeing them smile while therere saying sweet things to me to make me feel great about myself,joy
i am feeling naughty today,love
i love reading books about how best to educate kids in part because i care very strongly about the issue and in part because i like to feel inadequate,sadness
i was hurt that he actually thought i needed his or anyone elses help it made me feel like i was being petty and i know im not,anger
i feel angry ashamed and sad,anger
i was feeling the urge to yell out you greedy teabag licking potato bottom,anger
im feeling socially awkward and counter cultural and freakish and am trying not to eat piles and buckets of food that will do me no good whatsoever please help me stay connected to the only one that can get me through my little crisis,sadness
i love old urban stuff to paint and often feel that it is my job to make the ugly look beautiful with paint,sadness
i feel a stranger and afraid in a world i never made,fear
i am sort of like feeling satisfied with it as from the efforts that i have put on the results was much more better than ive expected,joy
i choose to feel calm and to think more clearly,joy
i wanna feel the passion so give me all you got share my sweet groove the whole night through let me lay my beat on you let s keep this good thing going movin in time with something good,joy
i feel submissive days of the week but occasionally i get really really submissive feelings,sadness
we went to visit my mother at the residence she was crying and said that she was about to die i believed all her complaints and continously thought of the possibility of loosing her,sadness
i am feeling very blessed during this thanksgiving break because of the opportunities i have had to catch up with friends and family,love
i love a lot of other things too but ill write all that stuff down when im feeling clever and witty enough,joy
i do feel blessed and lucky that i got to really fill this character out and really bring her to life green said,love
i look forward to in the morning and if i cant find the time to paint for a couple of days i start feeling very grumpy,anger
i was feeling incredibly ungrateful and embarrassed for how much i take advantage of in my life,sadness
i started feeling numb relief,sadness
i finished ill be breaking out of that shell and exploring a new world where my old man syndrome will feel welcomed by all the other men with old man syndrome,joy
i picked a few with grey undertones and others with purple undertones thinking that they would have a softer feel but im also really loving the crispness of the pure navy,love
i just feel fucking pissed off that i trusted someone who turned around amp took out all her baggage on me amp then did her damnedest to manipulate me into letting her off the hook for it,anger
i feel like they are the perfect representation of how i feel after these weeks bright and full of life,joy
im already feeling nostalgic as i look back at the past nine months with my st,love
i feel so honored that my new blog is being noticed,joy
i suppose i feel it s acceptable for someone of a religion i don t necessarily believe in to try and convert someone but i d feel it s less acceptable for an atheist to try and convert that same person to atheism because it pulls them into the negative,joy
i need to make the best of it and stop waiting to feel better,joy
ive already been feeling occasionally morose since s left two weeks ago for a two month trip,sadness
im pretty sure her stash of products is overwhelmingly impressive and im waiting for some inventory posts to make me feel lame by comparison,sadness
i feel even more amused at the universal conviction that the umpires robbed us even worse than they did in the croatia game,joy
i know she brought the subject up with good intentions in mind and while none of it changed my mind about homeschooling nothing can a few of the assumptions and other things said had me feeling offended and angry for a time afterward,anger
i can feel the cool coming off the back of it and that s not good,joy
i broke down feeling mom hated me over being an atheistic,sadness
i probably should write my sloth poem today since i feel so tierd and listless,sadness
i said no and she threatened to kick my ass much worse if she has to come and find me because she feels i have been ungrateful,sadness
i could feel your arousal between my thighs and was amazed when i reached between us and stroked you once with the back of my hand,surprise
i can talk to her about almost anything i want to and she just listens and she doesnt make me feel like a whiney brat and she helps me sort my thoughts and make decisions while keeping me where she feels im safe,sadness
i definitely feel cheated when millions of people are deprived of water and food and die of thirst and hunger i feel cheated when people die in custody and police do not have the time to investigate the case i feel cheated when tribals are killed and termed as maoist and there is no investigation,sadness
i feel rejected for not doing what you think i am supposed to,sadness
i feel that these soldiers lives were not in vain and died to protect my freedoms,sadness
i know the feeling of being rejected left behind and snubbed by the person whom i made center of your life career and sanity whew,sadness
i am feeling triumphant and have to give god the glory,joy
ive been feeling angry sad happy pissed off lonely disappointed useless and very very confused,anger
i feel more safe now especially since my psychologist has said that its rather clear that i suffer from gender dysphoria they can see that thats not something that ive made up and im not gonna end up just being dropped to fend for myself and try and deal with it on my own,joy
i just feel jaded and thoughtful,sadness
i now feel assured that there is an advance party to find good places for breakfast,joy
im not suicidal but it sure would help how i feel its such a selfish thought i know,anger
i feel like being spiteful of dee,anger
i am glad that i made close enough friends in cbe friends who made me feel that the years in cbe have been worthwhile,joy
i just finished watching kill bill volume and half of volume maybe that is why i feel really agitated right now,fear
i walked up to the floor and said out loud i really feel like leaving because i really want to dance with dance but i don t see you guys paying attention to me and i am getting impatient,anger
i feel so stupid fooled for believing in him,sadness
i love what i do but every year i have my moments of feeling disheartened,sadness
im feeling nostalgic for it and its not even gone yet,love
i do this i feel terrific afterwards and completely content,joy
im feeling paranoid that ive put the right flag on the post,fear
i feel like i wasnt super needy before my mission but again,joy
i feel abit stupid for writing out my opinions for everything haha,sadness
i feel really offended right now said chris perbix a junior who works for admissions,anger
i start to feel tragic people greet me im polite,sadness
i took the second test for my cognitive psychology test and i feel mentally exhausted,sadness
im needing to feel gods tender mercies right about now,love
i am back home by lunch time i wont feel like i missed some mystical opportunity,sadness
i feel so burdened by all these shit,sadness
i do feel we women even submissive ones need to lead is in the emotional life of the couple,sadness
i feel it has helped revitalise my dull locks,sadness
i hate her and many other physicians to a lesser degree has been about me feeling humiliated and stupid,sadness
i feel like in my attempt to be truthful i caused myself to get involved and then cause more inadvertent pain,joy
i feel delighted cause aaron is coming down to sydney for days,joy
i know i know that is what is supposed to happen but it makes me feel greedy,anger
i also fall into that category of vicious ass holes now and again but when i do i feel like a vicious ass hole for it,anger
i think about it i feel guilty that my profession remains so blind,sadness
i didn t want to lose my friends as much as i hate the stares the egg throwing and mass public hate it gives me something to feel i should be hated for ruining charlee s family,sadness
i will choose those memories that feel pleasant,joy
i can imagine how it feels to be in love and have that ecstatic top of the world feeling,joy
i missed october but when i realized i was starting after getting home from parent teacher conferences i noticed i was feeling terrified,fear
i wish i didnt have to feel listening to a song was supporting a political party,joy
i am feeling a bit overwhelmed with learning the new job and the close of the school year,fear
i feel that precious girl kick or see her face on the sonogram it makes it all worth while,joy
i feel passionate about the good it does for the health of your skin and it seems that not enough of us know about it,joy
i feel the more convinced i am this has a lot to do with my headache,joy
i feel like that combo is kinda weird,surprise
i do not feel gorgeous,joy
i have been living in rainy hamburg germany ive been at home with my two little girls feeling homesick at times learning how to express myself in a new language trying to remember who i am to rediscover my freedom and to keep moving forward with gratitude in this new life,sadness
i ended up getting this lovely knit that i thought would be great for autumn winter it feels lovely and drapes beautifully,love
i havent gotten them yet because i still resent paying dollars for a procedure that wasnt fully successful and since i wore glasses for years i feel ive been tortured enough,fear
i leave however i feel taller and more graceful so i intend to go every mwf from now on,joy
i have fun i feel as passionate about it as ever,love
im feeling sort of restless today,fear
i love feeling useful,joy
i also very much feel like going somewhere for a holiday now but im not too sure where,joy
i feel rebellious and some rules are begging to be broken let s have some fun here s a list of the top real estate blogging rules i love to break and the contributors can too,anger
i have come to feel acceptable and beautiful for the first time in my life,joy
i feel like i can not live without my gps i am also very thankful i was driving before they were common items and had to learn how to drive with maps road signs and google directions mapquest almost got us shot a few times in atlanta not kidding,joy
i feel like this is a lame email but im out of time,sadness
i feel that the video is making my blog lively er,joy
im feeling sentimental and nostalgic like some old timer,sadness
i would feel gorgeous in,joy
i think that sums up my experience fairly well if anyone has any questions please feel free to ask,joy
i didnt feel that i had very much to be thankful for,joy
i just cant shake the feeling that my impulse to add endgame bonuses or special actions would make a rather elegant game needlessly complex,joy
i have to admit to feeling bothered by that,anger
i feel all glamorous,joy
i have had this pain for a while now where i feel like muscles all over my body are constantly aching all the time,sadness
im also feeling super stressed but arent we all except for my husband whos a freak of nature,joy
i come back to in order to feel safe,joy
i don t remember ever feeling this tender toward someone,love
i feel that i am already successful in that i can hold my head up high and finally shout i am worthy,joy
i was already feeling too welcomed after i got down from the train to look for the destination,joy
i just want to make them happy and i can t and i feel so useless,sadness
i would feel defeated when one of my little people did,sadness
